date,Open,High,Low,Close,Volume,Dividends,Stock Splits,return,log_return,price,log_volume,RF,bond_ret,term_spread,credit_spread,T10YIE,sp500_pe,CDL2CROWS,CDL3BLACKCROWS,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2014-10-01,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,26229400,0.0,0.0,-0.0086033379705208,-0.0086405603274167,383.614990234375,17.08239147701033,0.0,25.7309,2.4,2.39,1.96,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,21777700,0.0,0.0,-0.0222697222086099,-0.0225214365636151,375.0719909667969,16.896397068423624,0.0,25.6787,2.43,2.39,1.95,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-03,375.1809997558594,377.6950073242188,357.8590087890625,359.5119934082031,30901200,0.0,0.0,-0.041485362632613,-0.0423704454942223,359.5119934082031,17.246305576065375,0.0,25.6947,2.4400000000000004,2.39,1.93,20.08,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-06,320.3890075683594,345.1340026855469,302.5599975585937,330.0790100097656,79011800,0.0,0.0,0.0298555425808324,0.0294185424840825,330.0790100097656,18.18510776636575,0.0,25.7462,2.41,2.39,1.93,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2014-10-07,330.5840148925781,339.2470092773437,320.48199462890625,336.18701171875,49199900,0.0,0.0,0.018504665621736,0.0183355375497698,336.18701171875,17.711402148940145,0.0,25.8554,2.34,2.39,1.92,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-08,336.1159973144531,354.364013671875,327.18798828125,352.94000244140625,54736300,0.0,0.0,0.0498323556195907,0.0486304901075319,352.94000244140625,17.818037667038055,0.0,25.8689,2.3400000000000003,2.39,1.96,20.08,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-09,352.7479858398437,382.72601318359375,347.68701171875,365.0260009765625,83641104,0.0,0.0,0.0342437764253222,0.0336705088651581,365.0260009765625,18.242045631863707,0.0,25.8766,2.33,2.39,1.97,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-10,364.68701171875,375.0669860839844,352.9630126953125,361.56201171875,43665700,0.0,0.0,-0.0094897055238399,-0.0095350196858695,361.56201171875,17.5920734548477,0.0,25.8913,2.3000000000000003,2.39,1.96,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2014-10-13,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,35221400,0.0,0.0,0.0313433396531879,0.0308621657497129,390.41400146484375,17.37716441038428,0.0,25.9001,,2.39,,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-14,391.6919860839844,411.697998046875,391.3240051269531,400.8699951171875,38491500,0.0,0.0,0.0267818101121184,0.0264294547353376,400.8699951171875,17.465947995661914,0.0,26.0275,2.19,2.39,1.92,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
