date,Open,High,Low,Close,Volume,Dividends,Stock Splits,return,log_return,price,log_volume,RF,bond_ret,term_spread,credit_spread,T10YIE,sp500_pe,BBANDS_104,DEMA_104,EMA_104,KAMA_104,SMA_104,TEMA_104,HT_TRENDLINE,SAR,ADX_104,ADXR_104,APO_104,AROON_104,AROONOSC_104,BOP_104,CCI_104,CMO_104,MACD_104,MFI_104,MINUS_DI_104,MINUS_DM_104,MOM_104,PLUS_DI_104,PLUS_DM_104,PPO_104,ROC_104,RSI_104,STOCH_104,STOCHRSI_104,TRIX_104,ULTOSC_104,WILLR_104,AD,ADOSC_104,OBV,ATR_104,NATR_104,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inPHASE,HT_PHASOR_QUADR,HT_SINE_LOWER,HT_SINE_UPPER,HT_TRENDMODE,PR_STDDEV_104
2014-09-17,465.864013671875,468.1740112304688,452.4219970703125,457.3340148925781,21056800.0,0.0,0.0,,,457.3340148925781,16.8627341063064,0.0,25.4879,2.6,,2.06,18.5,0,,,,,,,,,,,0,,-0.5415179730394701,,,0,,,,,,,,,,0,,,,,-7924336.325417262,,21056800.0,,,,,,,,,,0,
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.4400024414063,34483200.0,0.0,0.0,-0.0719255760123118,-0.0746433511490502,424.4400024414063,17.355982806878018,0.0,25.4734,2.61,,2.02,18.5,0,,,,,,,468.1740112304688,,,,0,,-0.7409268822063935,,,0,,,,,,,,,,0,,,,,-24540196.054416277,,-13426400.0,,,44.230010986328125,,,,,,,0,
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,37919700.0,0.0,0.0,-0.0698426450868382,-0.0724015083159865,394.7959899902344,17.450981323927394,0.0,25.547600000000003,2.57,,2.03,18.5,0,,,,,,,468.1740112304688,,,,0,,-0.6767896306569919,,,0,,,,,,,,,,0,,,,,-44483907.15415749,,-51346100.0,,,43.302978515625,,,,,,,0,
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,24127600.0,0.0,0.0,0.0083521016497065,0.008317415847792,402.1520080566406,16.99886697140306,0.0,25.5829,2.56,,1.99,18.5,0,,,,,,,468.1740112304688,,,,0,,0.31187493568094005,,,0,,,,,,,,,,0,,,,,-43847736.74061322,,-27218500.0,,,12.1199951171875,,,,,,,0,
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,45099500.0,0.0,0.0,0.0836474178342121,0.0803325898083075,435.7909851074219,17.62438171793695,0.0,25.6264,2.53,,2.02,18.5,0,,,,,,,468.1740112304688,,,,0,,0.7429224607547178,,,0,,,,,,,,,,0,,,,,-10214048.2912703,,17881000.0,,,45.360015869140625,,,,,,,0,
2014-09-24,435.7510070800781,436.1119995117188,421.1319885253906,423.2049865722656,30627700.0,0.0,0.0,-0.0288808143473959,-0.0293060729580981,423.2049865722656,17.23741538620832,0.0,25.569000000000003,2.55,,2.03,18.5,0,,,,,,,468.1740112304688,,,,0,,-0.8375174436963289,,,0,,,,,,,,,,0,,,,,-32364963.816516582,,-12746700.0,,,14.980010986328182,,,,,,,0,
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,26814400.0,0.0,0.0,-0.0274830916797962,-0.0278678171931679,411.5740051269531,17.104449614612747,0.0,25.6455,2.51,,2.02,18.5,0,,,,,,,468.1740112304688,,,,0,,-0.8242242472679258,,,0,,,,,,,,,,0,,,,,-51141845.59979229,,-39561100.0,,,14.052001953125,,,,,,,0,
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.4249877929688,21460800.0,0.0,0.0,-0.0173699437887949,-0.0175225712651671,404.4249877929688,16.88173857312996,0.0,25.5965,2.53,,1.97,18.5,0,,,,,,,468.1740112304688,,,,0,,-0.46915430106317574,,,0,,,,,,,,,,0,,,,,-59906461.71163346,,-61021900.0,,,14.928985595703125,,,,,,,0,
2014-09-29,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,32497700.0,0.0,0.0,-0.0045442089048014,-0.0045545652081336,375.4670104980469,17.296679875564937,0.0,25.6269,2.48,,1.95,18.5,0,,,,,,,468.1740112304688,,,,0,,-0.1126356950267508,,,0,,,,,,,,,,0,,,,,-76234141.00223139,,-93519600.0,,,32.18499755859381,,,,,,,0,
2014-09-30,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,34707300.0,0.0,0.0,0.0305672387325581,0.0301093678685468,386.9440002441406,17.362460597431216,0.0,25.5864,2.5,,1.97,18.5,0,,,,,,,468.1740112304688,,,,0,,0.6191393672309304,,,0,,,,,,,,,,0,,,,,-57492873.14855707,,-58812300.0,,,17.53399658203125,,,,,,,0,
