date,Open,High,Low,Close,Volume,Dividends,Stock Splits,return,log_return,price,dp,log_volume,RF,bond_ret,term_spread,EPS,credit_spread,T10YIE,BBANDS_14,DEMA_14,EMA_14,KAMA_14,SMA_14,TEMA_14,HT_TRENDLINE,SAR,ADX_14,ADXR_14,APO_14,AROON_14,AROONOSC_14,BOP_14,CCI_14,CMO_14,MACD_14,MFI_14,MINUS_DI_14,MINUS_DM_14,MOM_14,PLUS_DI_14,PLUS_DM_14,PPO_14,ROC_14,RSI_14,STOCH_14,STOCHRSI_14,TRIX_14,ULTOSC_14,WILLR_14,AD,ADOSC_14,OBV,ATR_14,NATR_14,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inPHASE,HT_PHASOR_QUADR,HT_SINE_LOWER,HT_SINE_UPPER,HT_TRENDMODE,PR_STDDEV_14
2010-01-04,21.68000030517578,21.68000030517578,20.030000686645508,20.040000915527344,0.0,0,0,,,20.040000915527344,,-inf,0.0,18.8862,3.77,,,2.38,0,,,,,,,,,,,0,,-0.9939392538219229,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,,,,,,,,0,
2010-01-05,20.049999237060547,20.1299991607666,19.34000015258789,19.350000381469727,0.0,0,0,-0.034431162801145,-0.035037882711671804,19.350000381469727,,-inf,0.0,19.0141,3.7,,,2.34,0,,,,,,,21.68000030517578,,,,0,,-0.8860756131892117,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,0.7899990081787109,,,,,,,0,
2010-01-06,19.59000015258789,19.68000030517578,18.770000457763672,19.15999984741211,0.0,0,0,-0.009819148853328685,-0.009867674611151348,19.15999984741211,,-inf,0.0,18.9835,3.79,,,2.37,0,,,,,,,21.68000030517578,,,,0,,-0.4725278871184778,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,0.9099998474121094,,,,,,,0,
2010-01-07,19.68000030517578,19.709999084472656,18.700000762939453,19.059999465942383,0.0,0,0,-0.005219226631843266,-0.005232894372593416,19.059999465942383,,-inf,0.0,18.9899,3.8000000000000003,,,2.41,0,,,,,,,21.68000030517578,,,,0,,-0.6138632372103564,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,1.0099983215332031,,,,,,,0,
2010-01-08,19.270000457763672,19.270000457763672,18.110000610351562,18.1299991607666,0.0,0,0,-0.04879330174366292,-0.05002389172924773,18.1299991607666,,-inf,0.0,19.0322,3.7800000000000002,,,2.42,0,,,,,,,21.68000030517578,,,,0,,-0.9827598680640738,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,1.1599998474121094,,,,,,,0,
2010-01-11,16.93000030517578,17.739999771118164,16.860000610351562,17.549999237060547,0.0,0,0,-0.031991172121021205,-0.032514072037455495,17.549999237060547,,-inf,0.0,19.043699999999998,3.81,,,2.38,0,,,,,,,21.68000030517578,,,,0,,0.7045449126845308,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,1.269998550415039,,,,,,,0,
2010-01-12,17.950000762939453,19.459999084472656,17.950000762939453,18.25,0.0,0,0,0.039886085092314616,0.03911117358896017,18.25,,-inf,0.0,19.153399999999998,3.6900000000000004,,,2.39,0,,,,,,,21.68000030517578,,,,0,,0.19867521227171792,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,1.9099998474121094,,,,,,,0,
2010-01-13,17.940000534057617,18.719999313354492,17.559999465942383,17.850000381469727,0.0,0,0,-0.021917787316727333,-0.02216155043199965,17.850000381469727,,-inf,0.0,19.0825,3.7399999999999998,,,2.37,0,,,,,,,21.68000030517578,,,,0,,-0.07758634864364475,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,1.1599998474121094,,,,,,,0,
2010-01-14,18.15999984741211,18.270000457763672,17.3799991607666,17.6299991607666,0.0,0,0,-0.012324998095322726,-0.012401580789298185,17.6299991607666,,-inf,0.0,19.1497,3.71,,,2.36,0,,,,,,,21.68000030517578,,,,0,,-0.5955055216590909,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,0.8900012969970703,,,,,,,0,
2010-01-15,17.6299991607666,19.020000457763672,17.6299991607666,17.90999984741211,0.0,0,0,0.015882058988897496,0.015757258745714202,17.90999984741211,,-inf,0.0,19.1963,3.64,,,2.36,0,,,,,,,21.68000030517578,,,,0,,0.20143915494929066,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,1.3900012969970703,,,,,,,0,
2010-01-19,18.6299991607666,18.850000381469727,17.329999923706055,17.579999923706055,0.0,0,0,-0.01842545653364358,-0.018597319635700774,17.579999923706055,,-inf,0.0,19.1616,3.67,,,2.38,0,,,,,,,21.68000030517578,,,,0,,-0.6907887637122012,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,1.5200004577636719,,,,,,,0,
2010-01-20,18.510000228881836,19.690000534057617,18.440000534057617,18.68000030517578,0.0,0,0,0.06257112549735644,0.06069156122051371,18.68000030517578,,-inf,0.0,19.2149,3.6300000000000003,,,2.37,0,,,,,,,21.68000030517578,,,,0,,0.13600006103515624,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,2.1100006103515625,,,,,,,0,
2010-01-21,18.59000015258789,22.299999237060547,18.270000457763672,22.270000457763672,0.0,0,0,0.19218415920438647,0.17578705268671796,22.270000457763672,,-inf,0.0,19.258699999999997,3.56,,,2.33,0,,,,,,,16.860000610351562,,,,0,,0.9131517170875771,,,0,,,,,,,,,,0,,,,,0.0,,0.0,,,4.029998779296875,,,,,,,0,
2010-01-22,22.270000457763672,28.010000228881836,22.270000457763672,27.309999465942383,0.0,0,0,0.22631337694569686,0.2040124141057789,27.309999465942383,,-inf,0.0,19.2459,3.56,,,2.31,-1,,19.3407141821725,,19.3407141821725,,,16.860000610351562,,,0.549285752432688,0,,0.8780486427087276,315.1240473762756,,0,,,4.040000915527344,,,11.629999160766602,2.840048962302528,,,0,,,,-6.278033963123337,0.0,0.0,0.0,,,5.739999771118164,,,,,,,0,2.5253754384249087
2010-01-25,27.31999969482422,27.31999969482422,24.610000610351562,25.40999984741211,0.0,0,0,-0.06957157289218241,-0.07211012460318689,25.40999984741211,,-inf,0.0,19.1919,3.6,,,2.33,0,,20.149952270871115,27.175580033526117,19.724285534449987,,,16.860000610351562,,,1.2457143238612574,0,57.142857142857146,-0.704797229768725,210.36636602791359,33.457930908596545,0,0.0,15.06987425491499,3.751429421561105,5.369998931884766,43.38182802481926,10.799284934997559,6.315637246710515,26.796400631518914,66.72896545429828,0,,,65.51552337164505,-23.318389869258517,0.0,0.0,0.0,1.8999997547694616,7.477370193542003,2.7099990844726562,,,,,,,0,2.9709635794853875
2010-01-26,26.030000686645508,26.219999313354492,22.770000457763672,24.549999237060547,0.0,0,0,-0.03384496715922447,-0.03443096816347395,24.549999237060547,,-inf,0.0,19.1872,3.58,,,2.34,0,,20.736625199696373,27.001405650134434,20.095714024135045,,,16.860000610351562,,,1.862857273646764,0,57.142857142857146,-0.4289860697161035,123.22909708281922,26.176974465370357,0,0.0,20.0390707634901,5.323470329751774,5.19999885559082,37.74792275437677,10.02790743964059,9.269923285181427,26.873378568873463,63.088487232685175,0,,,66.14897178919016,-31.0314000914501,0.0,0.0,0.0,2.0107139762567017,8.19028121687816,3.4499988555908203,,,,,,,0,3.2159062254377178
2010-01-27,24.809999465942383,25.690000534057617,23.139999389648438,23.139999389648438,0.0,0,0,-0.05743380412344701,-0.05914912777450747,23.139999389648438,,-inf,0.0,19.1741,3.58,,,2.31,0,,21.05707509168998,26.843948590194493,20.379999705723353,,,16.860000610351562,,,2.3257143838065026,0,57.142857142857146,-0.6549016967915419,87.7510229173741,15.09061523694777,0,0.0,18.161644181816825,4.943222449055218,3.979999542236328,34.21138383905266,9.311628336809118,11.41174885862912,20.772440364992462,57.545307618473885,0,,,59.88479399233019,-43.677139065905486,0.0,0.0,0.0,2.049234488267593,8.855810468103588,2.5500011444091797,,,,,,,0,3.2955532311943827
