date,Open,High,Low,Close,Volume,Dividends,Stock Splits,return,log_return,price,dp,log_volume,RF,bond_ret,term_spread,EPS,credit_spread,T10YIE
2010-01-04,21.68000030517578,21.68000030517578,20.030000686645508,20.040000915527344,0,0,0,,,20.040000915527344,,-inf,0.0,18.8862,3.77,,,2.38
2010-01-05,20.049999237060547,20.1299991607666,19.34000015258789,19.350000381469727,0,0,0,-0.034431162801145,-0.035037882711671804,19.350000381469727,,-inf,0.0,19.0141,3.7,,,2.34
2010-01-06,19.59000015258789,19.68000030517578,18.770000457763672,19.15999984741211,0,0,0,-0.009819148853328685,-0.009867674611151348,19.15999984741211,,-inf,0.0,18.9835,3.79,,,2.37
2010-01-07,19.68000030517578,19.709999084472656,18.700000762939453,19.059999465942383,0,0,0,-0.005219226631843266,-0.005232894372593416,19.059999465942383,,-inf,0.0,18.9899,3.8000000000000003,,,2.41
2010-01-08,19.270000457763672,19.270000457763672,18.110000610351562,18.1299991607666,0,0,0,-0.04879330174366292,-0.05002389172924773,18.1299991607666,,-inf,0.0,19.0322,3.7800000000000002,,,2.42
2010-01-11,16.93000030517578,17.739999771118164,16.860000610351562,17.549999237060547,0,0,0,-0.031991172121021205,-0.032514072037455495,17.549999237060547,,-inf,0.0,19.043699999999998,3.81,,,2.38
2010-01-12,17.950000762939453,19.459999084472656,17.950000762939453,18.25,0,0,0,0.039886085092314616,0.03911117358896017,18.25,,-inf,0.0,19.153399999999998,3.6900000000000004,,,2.39
2010-01-13,17.940000534057617,18.719999313354492,17.559999465942383,17.850000381469727,0,0,0,-0.021917787316727333,-0.02216155043199965,17.850000381469727,,-inf,0.0,19.0825,3.7399999999999998,,,2.37
2010-01-14,18.15999984741211,18.270000457763672,17.3799991607666,17.6299991607666,0,0,0,-0.012324998095322726,-0.012401580789298185,17.6299991607666,,-inf,0.0,19.1497,3.71,,,2.36
2010-01-15,17.6299991607666,19.020000457763672,17.6299991607666,17.90999984741211,0,0,0,0.015882058988897496,0.015757258745714202,17.90999984741211,,-inf,0.0,19.1963,3.64,,,2.36
2010-01-19,18.6299991607666,18.850000381469727,17.329999923706055,17.579999923706055,0,0,0,-0.01842545653364358,-0.018597319635700774,17.579999923706055,,-inf,0.0,19.1616,3.67,,,2.38
2010-01-20,18.510000228881836,19.690000534057617,18.440000534057617,18.68000030517578,0,0,0,0.06257112549735644,0.06069156122051371,18.68000030517578,,-inf,0.0,19.2149,3.6300000000000003,,,2.37
2010-01-21,18.59000015258789,22.299999237060547,18.270000457763672,22.270000457763672,0,0,0,0.19218415920438647,0.17578705268671796,22.270000457763672,,-inf,0.0,19.258699999999997,3.56,,,2.33
